Past QB Orders,,,,,,via NFL.com,,,Personal
Year,Pick Order,Grade Order,Team,Pick Num,Player,Grade,Pro Comparison,Needed A QB,Qb Category
,,,,,,,,,
2014,1,1,Jaguars,3,Blake Bortles,6.8,,,
,2,2,Browns,22,Johnny Manziel,6.4,,,
,3,1,Vikings,32,Teddy Bridgewater,6.8,,,
,,,,,,,,,
2015,1,1,Bucs,1,Jameis Winston,7,Eli Manning,,
,2,2,Titans,2,Marcus Mariota,6.8,Colin Kaepernick,,
,,,,,,,,,
2016,1,1,Rams,1,Jared Goff,7,Matt Ryan,,
,2,3,Eagles,2,Carson Wentz,6.7,Blake Bortles,,
,3,2,Broncos,26,Paxton Lynch,6.8,Marcus Mariota,,
,,,,,,,,,
2017,1,1,Bears,2,Mitchell Trubisky,7,Matthew Stafford,,
,2,2,Chiefs,10,Patrick Mahomes,6.8,Jay Cutler,,
,3,3,Texans,12,Deshaun Watson,6.3,Marcus Mariota,,
,,,,,,,,,
2018,1,2,Browns,1,Baker Mayfield,6.7,Doug Flutie,,
,2,1,Jets,3,Sam Darnold,7.1,Andrew Luck,,
,3,3,Bils,7,Josh Allen,6.4,Jake Locker,,
,4,2,Cardinals,10,Josh Rosen,6.7,Trent Green,,
,5,3,Ravens,32,Lamar Jackson,6.4,Michael Vick,,
,,,,,,,,,
2019,1,1,Cardinals,1,Kyler Murray,6.8,Russel Wilson,,
,2,3,Giants,6,Daniel Jones,6.3,Ryan Tannehill,,
,3,2,Redskins,15,Dwayne Haskins,6.7,Drew Bledsoe,,
,,,,,,,,,
2020,1,1,Bengals,1,Joe Burrow,7.07,Kurt Warner,,
,2,2,Dolphins,5,Tua Tagovailoa,6.77,Mark Brunell,,
,3,3,Chargers,6,Justin Herbert,6.45,Carson Wentz,,
,4,4,Packers,26,Jordan Love,6.36,Blake Bortles,,
,,,,,,,,,
2021,1,1,Jaguars,1,Trevor Lawrence,7.4,,,
,2,2,Jets,2,Zach Wilson,6.5,,,
,3,3,49ers,3,Trey Lance,6.47,Josh Allen,,
,4,4,Broncos,9,Justin Fields,6.45,Dak Prescott,,
,5,5,Patriots,15,Mac Jones,6.33,Daniel Jones,,