Position Drafted,Team,Draft Year,Pick Number,Team PF,Team Yds,Team Ply,Team Y/P,Team TO,Team FL,Team 1stD,Team Cmp,Team Att,Team Yds,Team TD,Team Int,Team NY/A,Team 1stD,Team Att,Team Yds,Team TD,Team Y/A,Team 1stD,Team Pen,Team Yds,Team 1stPy,Team #Dr,Team Sc%,Team TO%,Team Start,Team Time,Team Plays,Team Yds,Team Pts,Opp. PF,Opp. Yds,Opp. Ply,Opp. Y/P,Opp. TO,Opp. FL,Opp. 1stD,Opp. Cmp,Opp. Att,Opp. Yds,Opp. TD,Opp. Int,Opp. NY/A,Opp. 1stD,Opp. Att,Opp. Yds,Opp. TD,Opp. Y/A,Opp. 1stD,Opp. Pen,Opp. Yds,Opp. 1stPy,Opp. #Dr,Opp. Sc%,Opp. TO%,Opp. Start,Opp. Time,Opp. Plays,Opp. Yds,Opp. Pts,Off. Rank PF,Off. Rank Yds,Off. Rank Ply,Off. Rank Y/P,Off. Rank TO,Off. Rank FL,Off. Rank 1stD,Off. Rank Cmp,Off. Rank Att,Off. Rank Yds,Off. Rank TD,Off. Rank Int,Off. Rank NY/A,Off. Rank 1stD,Off. Rank Att,Off. Rank Yds,Off. Rank TD,Off. Rank Y/A,Off. Rank 1stD,Off. Rank Pen,Off. Rank Yds,Off. Rank 1stPy,Off. Rank #Dr,Off. Rank Sc%,Off. Rank TO%,Off. Rank Start,Off. Rank Time,Off. Rank Plays,Off. Rank Yds,Off. Rank Pts,Def. Rank PF,Def. Rank Yds,Def. Rank Ply,Def. Rank Y/P,Def. Rank TO,Def. Rank FL,Def. Rank 1stD,Def. Rank Cmp,Def. Rank Att,Def. Rank Yds,Def. Rank TD,Def. Rank Int,Def. Rank NY/A,Def. Rank 1stD,Def. Rank Att,Def. Rank Yds,Def. Rank TD,Def. Rank Y/A,Def. Rank 1stD,Def. Rank Pen,Def. Rank Yds,Def. Rank 1stPy,Def. Rank #Dr,Def. Rank Sc%,Def. Rank TO%,Def. Rank Start,Def. Rank Time,Def. Rank Plays,Def. Rank Yds,Def. Rank Pts
,Jaguars,2021,1,292.0,4935.0,932.0,5.3,24.0,8.0,292.0,361.0,574.0,3469.0,23.0,16.0,5.7,190.0,320.0,1466.0,9.0,4.6,77.0,104.0,1017.0,25.0,159.0,31.4,14.5,Own 26.8,2:38,6.02,31.0,1.75,464.0,6246.0,1004.0,6.2,16.0,5.0,371.0,353.0,506.0,4067.0,33.0,11.0,7.8,201.0,480.0,2179.0,21.0,4.5,128.0,77.0,695.0,42.0,171.0,48.5,9.4,Own 30.9,2:52,6.1,36.6,2.72,29.0,26.0,,,27.0,16.0,29.0,,7.0,20.0,21.0,29.0,26.0,,32.0,27.0,30.0,10.0,,,,,,30.0,5.0,28.0,24.0,17.0,23.0,28.0,31.0,32.0,,,26.0,27.0,31.0,,8.0,27.0,30.0,16.0,32.0,,31.0,30.0,30.0,20.0,,,,,,3.0,26.0,28.0,22.0,15.0,27.0,30.0
,Jets,2021,2,229.0,4129.0,886.0,4.7,17.0,5.0,248.0,269.0,465.0,2557.0,15.0,12.0,5.1,132.0,381.0,1572.0,8.0,4.1,87.0,98.0,922.0,29.0,164.0,26.8,10.4,Own 26.9,2:31,5.57,25.1,1.37,429.0,5797.0,1018.0,5.7,19.0,9.0,358.0,396.0,574.0,4171.0,30.0,10.0,6.9,220.0,416.0,1626.0,16.0,3.9,93.0,93.0,852.0,45.0,167.0,44.9,11.4,Own 30.8,2:55,6.3,34.6,2.45,32.0,32.0,,,11.0,3.0,32.0,,29.0,32.0,29.0,19.0,32.0,,23.0,23.0,32.0,23.0,,,,,,32.0,20.0,27.0,29.0,32.0,32.0,32.0,27.0,25.0,,,21.0,9.0,27.0,,28.0,29.0,27.0,18.0,25.0,,24.0,10.0,16.0,5.0,,,,,,8.0,18.0,27.0,27.0,22.0,21.0,24.0
,Dolphins,2021,3,378.0,4970.0,941.0,5.3,16.0,6.0,318.0,334.0,500.0,3352.0,23.0,10.0,6.3,187.0,408.0,1618.0,13.0,4.0,95.0,72.0,615.0,36.0,166.0,42.2,9.6,Own 30.2,2:49,5.89,29.9,2.13,282.0,5431.0,934.0,5.8,27.0,11.0,312.0,319.0,507.0,3647.0,17.0,16.0,6.7,174.0,387.0,1784.0,15.0,4.6,109.0,82.0,789.0,29.0,165.0,29.7,15.8,Own 25.8,2:37,5.8,32.8,1.67,15.0,23.0,,,5.0,11.0,20.0,,24.0,25.0,21.0,10.0,20.0,,15.0,22.0,20.0,28.0,,,,,,14.0,25.0,8.0,13.0,25.0,24.0,17.0,1.0,20.0,,,1.0,4.0,11.0,,9.0,19.0,2.0,2.0,21.0,,11.0,17.0,14.0,23.0,,,,,,30.0,1.0,5.0,8.0,7.0,14.0,3.0
,Falcons,2021,4,369.0,5510.0,1007.0,5.5,16.0,5.0,341.0,379.0,584.0,4105.0,25.0,11.0,6.6,226.0,383.0,1405.0,12.0,3.7,80.0,79.0,688.0,35.0,165.0,44.2,9.7,Own 28.3,2:47,6.33,33.4,2.22,370.0,5889.0,970.0,6.1,20.0,9.0,339.0,399.0,584.0,4306.0,30.0,11.0,7.0,219.0,358.0,1583.0,14.0,4.4,92.0,88.0,777.0,28.0,164.0,39.6,12.2,Own 27.9,2:42,6.1,35.9,2.26,17.0,18.0,,,5.0,3.0,9.0,,6.0,5.0,15.0,16.0,16.0,,22.0,29.0,23.0,31.0,,,,,,11.0,23.0,18.0,14.0,11.0,16.0,15.0,19.0,28.0,,,14.0,9.0,22.0,,30.0,31.0,27.0,16.0,28.0,,2.0,7.0,13.0,15.0,,,,,,17.0,13.0,12.0,10.0,14.0,24.0,20.0
,Bengals,2021,5,308.0,4921.0,1000.0,4.9,22.0,13.0,308.0,366.0,560.0,3400.0,19.0,9.0,5.6,200.0,392.0,1521.0,13.0,3.9,85.0,80.0,646.0,23.0,168.0,34.5,12.5,Own 27.9,2:51,6.15,29.1,1.8,386.0,5702.0,948.0,6.0,16.0,6.0,319.0,329.0,522.0,3738.0,29.0,10.0,6.9,187.0,409.0,1964.0,11.0,4.8,107.0,93.0,746.0,25.0,169.0,42.6,9.5,Own 29.4,2:33,5.8,33.7,2.22,27.0,28.0,,,23.0,29.0,24.0,,11.0,23.0,26.0,8.0,28.0,,17.0,25.0,20.0,29.0,,,,,,25.0,10.0,23.0,12.0,14.0,26.0,26.0,20.0,22.0,,,26.0,21.0,14.0,,18.0,23.0,24.0,18.0,26.0,,20.0,25.0,4.0,29.0,,,,,,12.0,25.0,20.0,4.0,9.0,18.0,17.0
,Eagles,2021,6,320.0,5138.0,1001.0,5.1,26.0,8.0,320.0,321.0,565.0,3229.0,22.0,18.0,5.1,172.0,374.0,1909.0,14.0,5.1,107.0,101.0,812.0,41.0,177.0,28.8,14.7,Own 27.0,2:29,5.76,29.0,1.7,398.0,5562.0,998.0,5.6,17.0,11.0,324.0,342.0,498.0,3653.0,25.0,6.0,6.7,201.0,454.0,1909.0,20.0,4.2,92.0,107.0,980.0,31.0,184.0,38.0,8.7,Own 30.5,2:34,5.6,30.1,2.12,25.0,22.0,,,30.0,16.0,19.0,,10.0,27.0,24.0,31.0,31.0,,24.0,9.0,17.0,2.0,,,,,,31.0,4.0,26.0,31.0,29.0,27.0,29.0,22.0,21.0,,,24.0,4.0,15.0,,5.0,20.0,15.0,31.0,22.0,,29.0,24.0,27.0,11.0,,,,,,20.0,29.0,25.0,5.0,3.0,7.0,13.0
,Lions,2021,7,342.0,5186.0,937.0,5.5,19.0,7.0,329.0,354.0,551.0,3816.0,24.0,12.0,6.4,208.0,345.0,1370.0,15.0,4.0,84.0,88.0,809.0,37.0,160.0,36.9,11.3,Own 28.3,2:37,5.99,32.2,2.08,482.0,6208.0,994.0,6.2,12.0,5.0,384.0,355.0,517.0,4175.0,35.0,7.0,7.8,233.0,456.0,2033.0,25.0,4.5,119.0,99.0,762.0,32.0,158.0,47.5,7.6,Own 27.5,3:02,6.4,39.4,2.94,24.0,21.0,,,17.0,13.0,18.0,,14.0,11.0,18.0,19.0,19.0,,30.0,30.0,14.0,27.0,,,,,,21.0,16.0,18.0,25.0,20.0,22.0,20.0,32.0,31.0,,,30.0,27.0,32.0,,14.0,30.0,32.0,29.0,31.0,,30.0,29.0,32.0,16.0,,,,,,4.0,30.0,10.0,28.0,25.0,32.0,32.0
,Giants,2021,8,257.0,4458.0,911.0,4.9,20.0,10.0,275.0,304.0,492.0,2815.0,10.0,10.0,5.2,165.0,371.0,1643.0,12.0,4.4,85.0,75.0,589.0,25.0,155.0,33.5,12.3,Own 29.3,2:47,6.08,28.7,1.57,338.0,5282.0,966.0,5.5,21.0,11.0,327.0,359.0,527.0,3608.0,22.0,10.0,6.4,199.0,405.0,1674.0,13.0,4.1,107.0,82.0,623.0,21.0,152.0,41.4,12.5,Own 29.3,3:05,6.6,34.7,2.16,31.0,31.0,,,19.0,23.0,31.0,,25.0,29.0,31.0,10.0,30.0,,26.0,20.0,23.0,13.0,,,,,,27.0,11.0,11.0,14.0,15.0,28.0,31.0,10.0,13.0,,,9.0,4.0,18.0,,21.0,16.0,7.0,18.0,18.0,,17.0,11.0,11.0,8.0,,,,,,14.0,11.0,19.0,30.0,29.0,22.0,15.0
,Panthers,2021,9,343.0,5272.0,933.0,5.7,16.0,5.0,318.0,355.0,513.0,3642.0,16.0,11.0,6.7,183.0,387.0,1630.0,18.0,4.2,103.0,94.0,747.0,32.0,148.0,42.6,10.8,Own 28.6,3:09,6.55,35.6,2.2,369.0,5414.0,958.0,5.7,22.0,15.0,340.0,376.0,553.0,3634.0,25.0,7.0,6.3,200.0,378.0,1780.0,16.0,4.7,105.0,81.0,682.0,35.0,149.0,45.6,13.4,Own 29.5,2:54,6.6,36.1,2.47,23.0,20.0,,,5.0,3.0,20.0,,20.0,17.0,28.0,16.0,12.0,,18.0,21.0,8.0,19.0,,,,,,12.0,18.0,14.0,2.0,3.0,7.0,16.0,18.0,18.0,,,5.0,1.0,23.0,,26.0,17.0,15.0,29.0,14.0,,9.0,16.0,16.0,28.0,,,,,,6.0,9.0,23.0,25.0,31.0,25.0,25.0
,Broncos,2021,10,292.0,4923.0,955.0,5.2,32.0,9.0,284.0,292.0,515.0,3127.0,19.0,23.0,5.7,161.0,410.0,1796.0,12.0,4.4,89.0,77.0,642.0,34.0,174.0,32.2,18.4,Own 26.4,2:28,5.66,28.1,1.68,414.0,5422.0,979.0,5.5,12.0,4.0,311.0,350.0,529.0,3448.0,19.0,8.0,6.1,188.0,411.0,1974.0,20.0,4.8,98.0,92.0,841.0,25.0,170.0,45.3,6.5,Own 32.3,2:46,6.0,31.8,2.28,29.0,27.0,,,32.0,21.0,30.0,,19.0,28.0,26.0,32.0,25.0,,14.0,14.0,23.0,14.0,,,,,,29.0,1.0,29.0,32.0,30.0,30.0,30.0,25.0,19.0,,,30.0,31.0,8.0,,22.0,12.0,3.0,27.0,10.0,,23.0,26.0,27.0,30.0,,,,,,7.0,31.0,30.0,15.0,11.0,10.0,21.0
,Cowboys,2021,11,376.0,5642.0,1033.0,5.5,25.0,13.0,345.0,384.0,592.0,3962.0,25.0,12.0,6.3,215.0,403.0,1680.0,13.0,4.2,107.0,90.0,791.0,23.0,168.0,40.5,14.9,Own 28.5,2:30,6.37,33.5,2.12,450.0,5847.0,999.0,5.9,21.0,12.0,337.0,311.0,488.0,3431.0,32.0,9.0,6.6,167.0,482.0,2416.0,19.0,5.0,136.0,85.0,688.0,34.0,169.0,43.8,11.8,Own 31.1,2:50,6.1,34.6,2.52,16.0,12.0,,,28.0,29.0,7.0,,4.0,7.0,15.0,19.0,21.0,,16.0,17.0,20.0,22.0,,,,,,17.0,3.0,15.0,30.0,7.0,15.0,18.0,30.0,26.0,,,9.0,2.0,20.0,,2.0,11.0,29.0,26.0,20.0,,32.0,32.0,25.0,31.0,,,,,,10.0,16.0,29.0,21.0,13.0,20.0,26.0
,Chargers,2021,12,346.0,5697.0,1058.0,5.4,16.0,6.0,344.0,391.0,596.0,4048.0,28.0,10.0,6.5,210.0,431.0,1649.0,10.0,3.8,101.0,81.0,687.0,33.0,166.0,37.3,9.0,Own 26.1,2:52,6.57,34.2,2.04,405.0,5227.0,947.0,5.5,18.0,6.0,306.0,317.0,511.0,3361.0,27.0,12.0,6.3,173.0,410.0,1866.0,16.0,4.6,108.0,89.0,800.0,25.0,162.0,43.8,10.5,Own 32.5,2:45,6.0,32.1,2.38,21.0,8.0,,,5.0,11.0,8.0,,3.0,6.0,10.0,10.0,18.0,,10.0,18.0,29.0,30.0,,,,,,20.0,27.0,31.0,11.0,2.0,13.0,23.0,24.0,12.0,,,23.0,21.0,7.0,,11.0,9.0,20.0,13.0,13.0,,21.0,21.0,16.0,21.0,,,,,,9.0,23.0,31.0,13.0,12.0,11.0,22.0
,Vikings,2021,13,393.0,5784.0,949.0,6.1,23.0,10.0,352.0,321.0,476.0,3626.0,32.0,13.0,7.1,192.0,437.0,2158.0,18.0,4.9,131.0,78.0,615.0,29.0,165.0,38.8,13.3,Own 25.7,2:42,5.87,35.0,2.38,440.0,5875.0,982.0,6.0,20.0,6.0,345.0,338.0,510.0,3853.0,27.0,14.0,7.2,196.0,450.0,2022.0,17.0,4.5,127.0,76.0,672.0,22.0,159.0,49.1,10.7,Own 33.2,2:54,6.4,36.7,2.58,13.0,6.0,,,25.0,23.0,5.0,,27.0,18.0,7.0,23.0,8.0,,8.0,6.0,8.0,4.0,,,,,,18.0,7.0,32.0,21.0,27.0,11.0,13.0,28.0,27.0,,,14.0,21.0,25.0,,10.0,24.0,20.0,7.0,30.0,,27.0,28.0,22.0,18.0,,,,,,2.0,22.0,32.0,25.0,24.0,28.0,28.0
,Patriots,2021,14,298.0,4832.0,916.0,5.3,19.0,5.0,309.0,261.0,409.0,2652.0,8.0,14.0,6.0,142.0,473.0,2180.0,20.0,4.6,136.0,56.0,487.0,31.0,147.0,36.7,12.9,Own 28.5,2:58,6.42,32.7,1.86,339.0,5310.0,920.0,5.8,20.0,4.0,318.0,310.0,460.0,3318.0,21.0,16.0,6.9,173.0,439.0,1992.0,16.0,4.5,124.0,79.0,609.0,21.0,146.0,40.4,13.7,Own 25.0,3:10,6.5,36.2,2.23,28.0,29.0,,,17.0,3.0,23.0,,31.0,30.0,32.0,26.0,23.0,,3.0,5.0,5.0,9.0,,,,,,22.0,8.0,15.0,7.0,6.0,20.0,25.0,11.0,15.0,,,14.0,31.0,13.0,,1.0,7.0,4.0,2.0,24.0,,26.0,27.0,16.0,19.0,,,,,,15.0,6.0,1.0,32.0,26.0,26.0,18.0
