Position Drafted,Team,Draft Year,Pick Number,Team PF,Team Yds,Team Ply,Team Y/P,Team TO,Team FL,Team 1stD,Team Cmp,Team Att,Team Yds,Team TD,Team Int,Team NY/A,Team 1stD,Team Att,Team Yds,Team TD,Team Y/A,Team 1stD,Team Pen,Team Yds,Team 1stPy,Team #Dr,Team Sc%,Team TO%,Team Start,Team Time,Team Plays,Team Yds,Team Pts,Opp. PF,Opp. Yds,Opp. Ply,Opp. Y/P,Opp. TO,Opp. FL,Opp. 1stD,Opp. Cmp,Opp. Att,Opp. Yds,Opp. TD,Opp. Int,Opp. NY/A,Opp. 1stD,Opp. Att,Opp. Yds,Opp. TD,Opp. Y/A,Opp. 1stD,Opp. Pen,Opp. Yds,Opp. 1stPy,Opp. #Dr,Opp. Sc%,Opp. TO%,Opp. Start,Opp. Time,Opp. Plays,Opp. Yds,Opp. Pts,Off. Rank PF,Off. Rank Yds,Off. Rank Ply,Off. Rank Y/P,Off. Rank TO,Off. Rank FL,Off. Rank 1stD,Off. Rank Cmp,Off. Rank Att,Off. Rank Yds,Off. Rank TD,Off. Rank Int,Off. Rank NY/A,Off. Rank 1stD,Off. Rank Att,Off. Rank Yds,Off. Rank TD,Off. Rank Y/A,Off. Rank 1stD,Off. Rank Pen,Off. Rank Yds,Off. Rank 1stPy,Off. Rank #Dr,Off. Rank Sc%,Off. Rank TO%,Off. Rank Start,Off. Rank Time,Off. Rank Plays,Off. Rank Yds,Off. Rank Pts,Def. Rank PF,Def. Rank Yds,Def. Rank Ply,Def. Rank Y/P,Def. Rank TO,Def. Rank FL,Def. Rank 1stD,Def. Rank Cmp,Def. Rank Att,Def. Rank Yds,Def. Rank TD,Def. Rank Int,Def. Rank NY/A,Def. Rank 1stD,Def. Rank Att,Def. Rank Yds,Def. Rank TD,Def. Rank Y/A,Def. Rank 1stD,Def. Rank Pen,Def. Rank Yds,Def. Rank 1stPy,Def. Rank #Dr,Def. Rank Sc%,Def. Rank TO%,Def. Rank Start,Def. Rank Time,Def. Rank Plays,Def. Rank Yds,Def. Rank Pts
,49ers,2021,15,353.0,5594.0,982.0,5.7,30.0,13.0,333.0,346.0,533.0,3791.0,24.0,17.0,6.7,203.0,413.0,1803.0,18.0,4.4,99.0,83.0,706.0,31.0,171.0,35.7,15.2,Own 27.5,2:45,5.88,32.7,2.05,364.0,4750.0,932.0,5.1,20.0,8.0,290.0,321.0,501.0,3168.0,23.0,12.0,6.0,165.0,403.0,1582.0,11.0,3.9,93.0,75.0,674.0,32.0,171.0,38.0,11.1,Own 30.4,2:31,5.7,27.6,1.94,20.0,15.0,,,31.0,29.0,16.0,,16.0,12.0,18.0,30.0,13.0,,13.0,13.0,8.0,15.0,,,,,,24.0,2.0,25.0,16.0,26.0,19.0,21.0,17.0,5.0,,,14.0,14.0,4.0,,7.0,4.0,12.0,13.0,8.0,,16.0,6.0,4.0,7.0,,,,,,21.0,19.0,24.0,3.0,5.0,4.0,8.0
,Raiders,2021,16,402.0,5668.0,972.0,5.8,22.0,14.0,337.0,345.0,513.0,3858.0,26.0,8.0,7.2,193.0,434.0,1810.0,18.0,4.2,113.0,84.0,745.0,31.0,155.0,49.0,13.5,Own 29.7,3:02,6.49,36.5,2.61,447.0,5779.0,964.0,6.0,15.0,5.0,357.0,345.0,539.0,3888.0,26.0,10.0,7.0,208.0,406.0,1891.0,23.0,4.7,109.0,91.0,887.0,40.0,153.0,51.0,9.2,Own 28.5,2:52,6.5,37.8,2.81,11.0,10.0,,,23.0,32.0,12.0,,20.0,10.0,11.0,5.0,5.0,,9.0,12.0,8.0,21.0,,,,,,2.0,6.0,9.0,4.0,4.0,5.0,7.0,29.0,24.0,,,29.0,27.0,26.0,,24.0,25.0,17.0,18.0,27.0,,18.0,22.0,31.0,25.0,,,,,,1.0,28.0,16.0,22.0,27.0,30.0,31.0
,Cardinals,2021,17,403.0,5939.0,1034.0,5.7,20.0,8.0,366.0,368.0,548.0,3750.0,26.0,12.0,6.5,201.0,461.0,2189.0,22.0,4.7,132.0,107.0,830.0,33.0,167.0,42.5,12.0,Own 29.1,2:39,6.37,35.5,2.43,349.0,5298.0,984.0,5.4,19.0,9.0,342.0,343.0,532.0,3400.0,26.0,10.0,5.9,195.0,406.0,1898.0,13.0,4.7,111.0,99.0,803.0,36.0,162.0,37.7,9.9,Own 28.4,2:53,6.2,32.7,2.09,10.0,2.0,,,19.0,16.0,3.0,,15.0,15.0,11.0,19.0,17.0,,6.0,3.0,2.0,7.0,,,,,,13.0,13.0,12.0,23.0,8.0,9.0,10.0,14.0,14.0,,,21.0,9.0,24.0,,23.0,10.0,17.0,18.0,6.0,,18.0,23.0,11.0,26.0,,,,,,22.0,24.0,15.0,24.0,19.0,13.0,12.0
,Colts,2021,18,423.0,5612.0,968.0,5.8,14.0,4.0,341.0,354.0,525.0,3889.0,23.0,10.0,7.1,192.0,422.0,1723.0,18.0,4.1,117.0,93.0,884.0,32.0,158.0,44.9,8.9,Own 29.7,2:56,6.34,35.5,2.39,348.0,5031.0,927.0,5.4,24.0,9.0,311.0,343.0,520.0,3636.0,22.0,15.0,6.6,188.0,373.0,1395.0,16.0,3.7,91.0,83.0,701.0,32.0,156.0,36.5,14.7,Own 26.0,2:49,6.1,32.2,2.07,9.0,14.0,,,3.0,1.0,9.0,,18.0,8.0,21.0,10.0,7.0,,12.0,16.0,8.0,25.0,,,,,,8.0,28.0,9.0,8.0,10.0,10.0,11.0,12.0,8.0,,,3.0,9.0,8.0,,15.0,18.0,7.0,5.0,19.0,,8.0,2.0,16.0,2.0,,,,,,24.0,2.0,6.0,20.0,16.0,12.0,11.0
,Redskins,2021,19,315.0,4828.0,989.0,4.9,25.0,11.0,306.0,367.0,569.0,3320.0,14.0,14.0,5.4,176.0,373.0,1508.0,18.0,4.0,102.0,82.0,641.0,28.0,171.0,33.3,12.9,Own 28.2,2:37,5.97,28.2,1.75,315.0,4657.0,939.0,5.0,20.0,6.0,273.0,317.0,496.0,2970.0,21.0,14.0,5.5,156.0,399.0,1687.0,12.0,4.2,93.0,79.0,667.0,24.0,175.0,32.6,11.4,Own 29.4,2:35,5.5,26.5,1.73,26.0,30.0,,,28.0,26.0,25.0,,9.0,26.0,30.0,26.0,29.0,,25.0,26.0,8.0,26.0,,,,,,28.0,9.0,22.0,25.0,21.0,29.0,27.0,5.0,4.0,,,14.0,21.0,3.0,,4.0,3.0,4.0,7.0,3.0,,15.0,12.0,7.0,12.0,,,,,,27.0,17.0,20.0,6.0,2.0,3.0,4.0
,Bears,2021,20,356.0,4946.0,969.0,5.1,20.0,5.0,314.0,369.0,572.0,3407.0,26.0,15.0,5.6,206.0,362.0,1539.0,11.0,4.3,84.0,87.0,761.0,24.0,166.0,38.6,11.4,Own 30.5,2:43,6.01,29.8,2.05,335.0,5203.0,976.0,5.3,17.0,7.0,314.0,331.0,523.0,3468.0,24.0,10.0,6.2,177.0,419.0,1735.0,10.0,4.1,101.0,91.0,831.0,36.0,172.0,36.6,9.3,Own 28.9,2:39,5.9,30.2,1.89,18.0,25.0,,,19.0,3.0,22.0,,8.0,22.0,11.0,28.0,27.0,,27.0,24.0,28.0,18.0,,,,,,19.0,15.0,5.0,20.0,18.0,25.0,22.0,9.0,11.0,,,24.0,19.0,12.0,,19.0,13.0,14.0,18.0,12.0,,25.0,15.0,2.0,9.0,,,,,,23.0,27.0,18.0,9.0,10.0,8.0,7.0
,Rams,2021,21,354.0,5699.0,1018.0,5.6,23.0,10.0,331.0,370.0,552.0,3791.0,20.0,13.0,6.6,194.0,443.0,1908.0,19.0,4.3,116.0,66.0,617.0,21.0,174.0,34.5,12.1,Own 28.3,2:44,6.01,32.7,1.93,289.0,4297.0,940.0,4.6,21.0,8.0,265.0,328.0,521.0,2885.0,16.0,13.0,5.1,160.0,370.0,1412.0,12.0,3.8,87.0,72.0,544.0,18.0,171.0,29.2,12.3,Own 29.4,2:29,5.6,25.1,1.53,19.0,7.0,,,25.0,23.0,17.0,,13.0,12.0,25.0,23.0,15.0,,7.0,10.0,6.0,16.0,,,,,,26.0,12.0,18.0,18.0,19.0,21.0,24.0,3.0,1.0,,,9.0,14.0,2.0,,17.0,1.0,1.0,11.0,1.0,,6.0,3.0,7.0,3.0,,,,,,31.0,12.0,20.0,2.0,4.0,1.0,1.0
,Browns,2021,22,384.0,5555.0,960.0,5.8,16.0,8.0,334.0,298.0,474.0,3373.0,26.0,8.0,6.8,182.0,464.0,2182.0,19.0,4.7,125.0,96.0,851.0,27.0,155.0,40.6,10.3,Own 27.9,2:59,6.34,35.6,2.38,397.0,5341.0,970.0,5.5,20.0,10.0,334.0,345.0,541.0,3653.0,29.0,10.0,6.3,201.0,392.0,1688.0,16.0,4.3,111.0,82.0,675.0,22.0,156.0,42.3,12.8,Own 30.7,2:48,6.4,34.1,2.45,14.0,16.0,,,5.0,16.0,15.0,,28.0,24.0,11.0,5.0,11.0,,4.0,4.0,6.0,8.0,,,,,,15.0,21.0,23.0,5.0,9.0,8.0,12.0,21.0,17.0,,,14.0,7.0,19.0,,25.0,20.0,24.0,18.0,16.0,,12.0,13.0,16.0,13.0,,,,,,13.0,10.0,26.0,19.0,23.0,19.0,23.0
,Dolphins,2021,23,378.0,4970.0,941.0,5.3,16.0,6.0,318.0,334.0,500.0,3352.0,23.0,10.0,6.3,187.0,408.0,1618.0,13.0,4.0,95.0,72.0,615.0,36.0,166.0,42.2,9.6,Own 30.2,2:49,5.89,29.9,2.13,282.0,5431.0,934.0,5.8,27.0,11.0,312.0,319.0,507.0,3647.0,17.0,16.0,6.7,174.0,387.0,1784.0,15.0,4.6,109.0,82.0,789.0,29.0,165.0,29.7,15.8,Own 25.8,2:37,5.8,32.8,1.67,15.0,23.0,,,5.0,11.0,20.0,,24.0,25.0,21.0,10.0,20.0,,15.0,22.0,20.0,28.0,,,,,,14.0,25.0,8.0,13.0,25.0,24.0,17.0,1.0,20.0,,,1.0,4.0,11.0,,9.0,19.0,2.0,2.0,21.0,,11.0,17.0,14.0,23.0,,,,,,30.0,1.0,5.0,8.0,7.0,14.0,3.0
,Ravens,2021,24,430.0,5285.0,920.0,5.7,17.0,7.0,303.0,246.0,387.0,2618.0,24.0,10.0,6.2,137.0,501.0,2667.0,22.0,5.3,147.0,98.0,912.0,19.0,159.0,44.7,10.7,Own 32.5,2:55,5.96,33.2,2.5,300.0,5081.0,977.0,5.2,20.0,12.0,337.0,374.0,575.0,3488.0,22.0,8.0,5.7,212.0,363.0,1593.0,12.0,4.4,89.0,74.0,617.0,36.0,159.0,31.4,11.9,Own 25.3,2:46,6.3,31.7,1.82,8.0,19.0,,,11.0,13.0,27.0,,32.0,31.0,18.0,10.0,22.0,,1.0,1.0,2.0,1.0,,,,,,9.0,19.0,1.0,9.0,22.0,18.0,9.0,4.0,9.0,,,14.0,2.0,20.0,,29.0,14.0,7.0,27.0,4.0,,3.0,9.0,7.0,14.0,,,,,,29.0,15.0,2.0,15.0,21.0,9.0,5.0
,Titans,2021,25,450.0,5851.0,961.0,6.1,11.0,4.0,353.0,298.0,458.0,3449.0,32.0,7.0,7.2,193.0,480.0,2402.0,22.0,5.0,125.0,80.0,733.0,35.0,156.0,46.8,7.1,Own 28.8,2:45,6.33,37.2,2.81,401.0,5915.0,1015.0,5.8,22.0,8.0,365.0,394.0,590.0,4078.0,33.0,14.0,6.7,230.0,410.0,1837.0,17.0,4.5,107.0,97.0,796.0,28.0,156.0,42.9,13.5,Own 27.4,3:04,6.6,37.7,2.57,3.0,5.0,,,2.0,1.0,4.0,,30.0,21.0,7.0,3.0,6.0,,2.0,2.0,2.0,3.0,,,,,,5.0,31.0,13.0,16.0,12.0,4.0,2.0,23.0,29.0,,,5.0,14.0,30.0,,31.0,28.0,30.0,7.0,23.0,,21.0,19.0,22.0,17.0,,,,,,11.0,8.0,9.0,29.0,32.0,29.0,27.0
,Buccaneers,2021,26,448.0,5660.0,953.0,5.9,16.0,5.0,336.0,384.0,585.0,4235.0,38.0,11.0,7.0,218.0,347.0,1425.0,15.0,4.1,77.0,81.0,692.0,41.0,170.0,45.9,8.8,Own 30.5,2:34,5.77,33.3,2.62,328.0,4849.0,952.0,5.1,23.0,8.0,294.0,397.0,573.0,3687.0,27.0,15.0,5.9,198.0,332.0,1162.0,9.0,3.5,72.0,91.0,967.0,24.0,169.0,32.5,13.6,Own 28.3,2:45,5.8,28.7,1.83,5.0,11.0,,,5.0,3.0,13.0,,5.0,3.0,2.0,16.0,9.0,,29.0,28.0,14.0,24.0,,,,,,6.0,29.0,5.0,28.0,28.0,17.0,6.0,7.0,6.0,,,4.0,14.0,5.0,,27.0,22.0,20.0,5.0,7.0,,1.0,1.0,1.0,1.0,,,,,,28.0,7.0,14.0,13.0,6.0,6.0,6.0
,Jets,2021,27,229.0,4129.0,886.0,4.7,17.0,5.0,248.0,269.0,465.0,2557.0,15.0,12.0,5.1,132.0,381.0,1572.0,8.0,4.1,87.0,98.0,922.0,29.0,164.0,26.8,10.4,Own 26.9,2:31,5.57,25.1,1.37,429.0,5797.0,1018.0,5.7,19.0,9.0,358.0,396.0,574.0,4171.0,30.0,10.0,6.9,220.0,416.0,1626.0,16.0,3.9,93.0,93.0,852.0,45.0,167.0,44.9,11.4,Own 30.8,2:55,6.3,34.6,2.45,32.0,32.0,,,11.0,3.0,32.0,,29.0,32.0,29.0,19.0,32.0,,23.0,23.0,32.0,23.0,,,,,,32.0,20.0,27.0,29.0,32.0,32.0,32.0,27.0,25.0,,,21.0,9.0,27.0,,28.0,29.0,27.0,18.0,25.0,,24.0,10.0,16.0,5.0,,,,,,8.0,18.0,27.0,27.0,22.0,21.0,24.0
,Steelers,2021,28,394.0,4960.0,978.0,5.1,17.0,7.0,304.0,402.0,612.0,3694.0,33.0,10.0,5.9,193.0,353.0,1266.0,12.0,3.6,76.0,79.0,676.0,35.0,179.0,36.3,8.4,Own 31.2,2:36,5.58,27.7,2.09,288.0,4535.0,934.0,4.9,27.0,9.0,260.0,281.0,499.0,2944.0,21.0,18.0,5.3,150.0,383.0,1591.0,11.0,4.2,86.0,99.0,961.0,24.0,178.0,28.7,14.6,Own 28.2,2:27,5.4,25.4,1.58,12.0,24.0,,,11.0,13.0,26.0,,1.0,16.0,6.0,10.0,24.0,,28.0,32.0,23.0,32.0,,,,,,23.0,30.0,3.0,27.0,31.0,31.0,19.0,2.0,2.0,,,1.0,9.0,1.0,,6.0,2.0,4.0,1.0,2.0,,10.0,8.0,4.0,10.0,,,,,,32.0,3.0,13.0,1.0,1.0,2.0,2.0
,Saints,2021,29,449.0,5676.0,981.0,5.8,17.0,9.0,347.0,348.0,490.0,3567.0,25.0,8.0,6.9,188.0,464.0,2109.0,29.0,4.5,138.0,94.0,974.0,21.0,166.0,45.2,9.6,Own 31.9,2:55,6.07,34.3,2.66,330.0,4654.0,932.0,5.0,21.0,8.0,303.0,315.0,520.0,3226.0,28.0,13.0,5.7,176.0,370.0,1428.0,10.0,3.9,78.0,63.0,512.0,49.0,165.0,36.4,10.9,Own 27.5,2:36,5.8,28.1,2.01,4.0,9.0,,,11.0,21.0,6.0,,26.0,19.0,15.0,5.0,10.0,,4.0,7.0,1.0,11.0,,,,,,7.0,25.0,2.0,9.0,16.0,12.0,5.0,8.0,3.0,,,9.0,14.0,6.0,,15.0,5.0,23.0,11.0,5.0,,6.0,4.0,2.0,4.0,,,,,,25.0,20.0,10.0,7.0,8.0,5.0,10.0
,Bills,2021,30,445.0,5888.0,970.0,6.1,20.0,11.0,373.0,386.0,558.0,4243.0,36.0,9.0,7.3,221.0,386.0,1645.0,14.0,4.3,115.0,99.0,925.0,37.0,156.0,50.0,11.5,Own 30.4,3:05,6.44,37.7,2.78,349.0,5186.0,945.0,5.5,22.0,10.0,324.0,333.0,514.0,3342.0,22.0,12.0,6.1,179.0,394.0,1844.0,19.0,4.7,120.0,84.0,708.0,25.0,155.0,40.0,14.2,Own 26.8,2:42,6.2,33.4,2.26,6.0,4.0,,,19.0,26.0,2.0,,12.0,2.0,5.0,8.0,4.0,,19.0,19.0,17.0,17.0,,,,,,1.0,14.0,7.0,3.0,5.0,3.0,3.0,14.0,10.0,,,5.0,7.0,15.0,,12.0,8.0,7.0,13.0,9.0,,13.0,20.0,25.0,27.0,,,,,,16.0,4.0,7.0,10.0,20.0,16.0,19.0
,Packers,2021,31,474.0,5908.0,946.0,6.2,10.0,5.0,341.0,353.0,502.0,3869.0,44.0,5.0,7.4,203.0,424.0,2039.0,15.0,4.8,111.0,80.0,654.0,27.0,154.0,48.7,5.8,Own 28.3,3:13,6.25,38.3,2.99,353.0,4988.0,900.0,5.5,16.0,6.0,311.0,313.0,494.0,3291.0,23.0,10.0,6.2,172.0,366.0,1697.0,15.0,4.6,110.0,78.0,718.0,29.0,149.0,39.6,10.7,Own 28.5,2:44,6.2,33.5,2.21,1.0,3.0,,,1.0,3.0,9.0,,23.0,9.0,1.0,1.0,3.0,,11.0,8.0,14.0,6.0,,,,,,3.0,32.0,18.0,1.0,13.0,2.0,1.0,16.0,7.0,,,26.0,21.0,8.0,,3.0,6.0,12.0,18.0,11.0,,4.0,14.0,14.0,24.0,,,,,,19.0,21.0,16.0,12.0,18.0,17.0,16.0
,Chiefs,2021,32,452.0,6385.0,1007.0,6.3,15.0,8.0,379.0,397.0,598.0,4637.0,38.0,7.0,7.5,242.0,386.0,1748.0,12.0,4.5,106.0,100.0,850.0,31.0,155.0,48.4,9.7,Own 28.4,2:59,6.67,41.1,2.74,324.0,5317.0,953.0,5.6,22.0,6.0,324.0,327.0,526.0,3498.0,26.0,16.0,6.3,186.0,398.0,1819.0,12.0,4.6,103.0,93.0,737.0,35.0,160.0,35.0,13.8,Own 25.3,2:47,6.1,33.1,2.0,2.0,1.0,,,4.0,16.0,1.0,,2.0,1.0,2.0,3.0,2.0,,19.0,15.0,23.0,12.0,,,,,,4.0,24.0,17.0,5.0,1.0,1.0,4.0,6.0,16.0,,,5.0,21.0,15.0,,20.0,15.0,17.0,2.0,15.0,,14.0,18.0,7.0,22.0,,,,,,26.0,5.0,2.0,17.0,17.0,15.0,9.0
